Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-08-10T18:00:00Z,S,0,6,,,
S,2019-08-11T00:00:00Z,S,0,6,,,
S,2019-08-11T06:00:00Z,S,0.1,6,,,
S,2019-08-11T12:00:00Z,S,12,6,,,
S,2019-08-11T18:00:00Z,S,0.6,6,,,
S,2019-08-12T00:00:00Z,S,6,6,,,
S,2019-08-12T06:00:00Z,S,0.5,6,,,
S,2019-08-12T12:00:00Z,S,10,6,,,
S,2019-08-12T18:00:00Z,S,6,6,,,
S,2019-08-13T00:00:00Z,S,1,6,,,
S,2019-08-13T06:00:00Z,S,0.6,6,,,
S,2019-08-13T12:00:00Z,S,4,6,,,
S,2019-08-13T18:00:00Z,S,0.3,6,,,
S,2019-08-14T00:00:00Z,S,0,6,,,
S,2019-08-14T06:00:00Z,S,0.2,6,,,
S,2019-08-14T12:00:00Z,S,0.2,6,,,
S,2019-08-14T18:00:00Z,S,0,6,,,
S,2019-08-15T00:00:00Z,S,0.2,6,,,
S,2019-08-15T06:00:00Z,S,0,6,,,
S,2019-08-15T12:00:00Z,S,0,6,,,
S,2019-08-15T18:00:00Z,S,0,6,,,
S,2019-08-16T00:00:00Z,S,2,6,,,
S,2019-08-16T06:00:00Z,S,0,6,,,
S,2019-08-16T12:00:00Z,S,4,6,,,
S,2019-08-16T18:00:00Z,S,0.3,6,,,
S,2019-08-17T00:00:00Z,S,0.7,6,,,
S,2019-08-17T06:00:00Z,S,0,6,,,
S,2019-08-17T12:00:00Z,S,4,6,,,
S,2019-08-17T18:00:00Z,S,3,6,,,
S,2019-08-18T00:00:00Z,S,2,6,,,
S,2019-08-18T06:00:00Z,S,4,6,,,
S,2019-08-18T12:00:00Z,S,0,6,,,
S,2019-08-18T18:00:00Z,S,0,6,,,
S,2019-08-19T00:00:00Z,S,0,6,,,
S,2019-08-19T06:00:00Z,S,0,6,,,
S,2019-08-19T12:00:00Z,S,0,6,,,
S,2019-08-19T18:00:00Z,S,0,6,,,
S,2019-08-20T00:00:00Z,S,0,6,,,
S,2019-08-20T06:00:00Z,S,3,6,,,
S,2019-08-20T12:00:00Z,S,17,6,,,
S,2019-08-20T18:00:00Z,S,1,6,,,
S,2019-08-21T00:00:00Z,S,1,6,,,
